"Elizabeth, New Jersey",13.44970414
"Elk Grove Village, Illinois",6.781065089
"Elk Grove, California",11.66272189
"Elkhart, Indiana",28.78698225
"Ellicott City, Maryland",9.680473373
"Elmhurst, Illinois",7.75739645
"Elmont, New York",3.384615385
"Elsinore Valley, California",0.01
"Elsmere, Colorado",0.01
"Elyria, Ohio",23.79289941
"Encinitas, California",7.74556213
"Enfield, Connecticut",2.662721893
"Englewood, Colorado",34.43195266
"Enid, Oklahoma",17.87573964
"Enterprise, Nevada",1.443786982
"Enumclaw Plateau, Washington",0.01
"Erie, Pennsylvania",18.4852071
"Escondido, California",6.639053254
"Essex, Maryland",2.727810651
"Euclid, Ohio",8.893491124
"Eugene, Oregon",45.65088757
"Euless, Texas",5.668639053
"Evanston, Illinois",10.07100592
"Evansville, Indiana",39.33727811
"Everett, Massachusetts",2.715976331
"Everett, Washington",13.62130178
"Ewa, Hawaii",0.01
"Ewing, New Jersey",1.911242604
"Fair Lawn, New Jersey",1.917159763
"Fair Oaks, California",2.366863905
"Fair Oaks, Virginia",0.01
"Fairbanks, Alaska",18.43195266
"Fairborn, Ohio",9.792899408
"Fairfield, California",9.804733728
"Fairfield, Connecticut",6.449704142
"Fairfield, Ohio",19.75147929
"Fall River, Massachusetts",5.100591716
"Fallbrook, California",9.662721893
"Fargo, North Dakota",26.42011834
"Farmers Branch, Texas",13.69822485
"Farmington Hills, Michigan",27.58579882
"Farmington, New Mexico",15.86982249
"Fayette, Kentucky",0.01
"Fayetteville, Arkansas",32.27810651
"Fayetteville, North Carolina",20.64497041
"Federal Way, Washington",12.20118343
"Findlay, Ohio",28.4260355
"Fishers, Indiana",15.77514793
"Fitchburg, Massachusetts",2.674556213
"Flagstaff, Arizona",16.61538462
"Flint, Michigan",26.13609467
"Florence, Alabama",10.70414201
"Florence, Kentucky",0.633136095
"Florence, South Carolina",4.189349112
"Florence-Graham, California",0.029585799
"Florin, California",0.01
"Florissant, Missouri",0.272189349
"Flower Mound, Texas",13.68639053
"Folsom, California",9.372781065
"Fond du Lac, Wisconsin",5.982248521
"Fontana, California",17.07100592
"Foothill Farms, California",0.01
"Fort Collins, Colorado",18.42011834
"Fort Lauderdale, Florida",31.78106509
"Fort Lee, New Jersey",2.136094675
"Fort Myers, Florida",28
"Fort Pierce, Florida",6.887573964
"Fort Smith, Arkansas",6.366863905
"Fort Wayne, Indiana",22.0295858
"Fort Worth, Texas",48.04142012
"Foster City, California",1.130177515
"Fountain Valley, California",1.810650888
"Fountainbleau, Florida",0.01
"Framingham, Massachusetts",8.881656805
"Franklin Town, Massachusetts",0.01
"Franklin, Massachusetts",3.467455621
"Franklin, Tennessee",26.53846154
"Franklin, Wisconsin",2.573964497
"Frederick, Maryland",14.10059172
"Freeport, New York",1.680473373
"Fremont, California",9.278106509
"Fresno, California",25.19526627
"Friendswood, Texas",6.236686391
"Frisco, Texas",35.26035503
"Fullerton, California",9.00591716
"Gadsden, Alabama",6.053254438
"Gahanna, Ohio",8.520710059
"Gainesville, Florida",36.8816568
"Gainesville, Georgia",14.96449704
"Gaithersburg, Maryland",13.43786982
"Galesburg, Illinois",4.834319527
"Gallatin, Tennessee",3.976331361
"Galveston, Texas",26.73372781
"Garden Grove, California",14.90532544
"Gardena, California",8.627218935
"Garfield, New Jersey",2.094674556
"Garland, Texas",38.75147929
"Gary, Indiana",26.53846154
"Gastonia, North Carolina",6.195266272
"Georgetown, Kentucky",3.692307692
"Georgetown, Texas",21.13017751
"Germantown, Maryland",8.804733728
"Germantown, Tennessee",4.863905325
"Gig Harbor Peninsula, Washington",0.01
"Gilbert, Arizona",27.62721893
"Gillette, Wyoming",6.958579882
"Gilroy, California",4.414201183
"Glastonbury, Connecticut",2.153846154
"Glen Burnie, Maryland",7.420118343
"Glendale Heights, Illinois",1.976331361
"Glendale, Arizona",19.56804734
"Glendale, California",13.96449704
"Glendora, California",7.431952663
"Glenview, Illinois",15.95857988
"Golden Glades, Florida",0.01
"Goldsboro, North Carolina",11.5147929
"Goleta, California",9.106508876
"Goodyear, Arizona",13.40828402
"Goose Creek, South Carolina",2.792899408
"Goshen, Indiana",16.8816568
"Gracewood, Georgia",0.01
"Graham-Thrift, Washington",0.01
"Grand Forks, North Dakota",3.189349112
"Grand Island, Nebraska",6.597633136
"Grand Junction, Colorado",10.61538462
"Grand Prairie, Texas",17.03550296
"Grand Rapids, Michigan",37.4556213
"Granger, Indiana",5.284023669
