Place,Globvalue,Lat,Lon
"Bethel Park, Pennsylvania",0.0,40.32757,-80.0395
"Bethesda, Maryland",0.24318020024475076,38.98067,-77.10026
"Bethlehem, New York",0.0,42.53175,-73.84735
"Bethlehem, Pennsylvania",0.6891516311133005,40.62593,-75.37046
"Bettendorf, Iowa",1.1096756972301205,41.52448,-90.51569
"Beverly Hills, California",0.6073922810151928,34.07362,-118.40036
"Beverly, Massachusetts",0.30024504796107215,42.55843,-70.88005
"Big Creek, Georgia",0.0,32.37792,-84.97049
"Bill Arp, Georgia",0.0,34.30705,-83.41155
"Billerica, Massachusetts",0.0,42.55843,-71.26895
"Billings, Montana",0.17714419186556735,45.78329,-108.50069
"Biloxi, Mississippi",0.3716595952976215,30.39603,-88.88531
"Binghamton, New York",0.45274661146666684,42.09869,-75.91797
"Birmingham, Alabama",0.23326181790601452,33.52066,-86.80249
"Bismarck, North Dakota",0.0,46.80833,-100.78374
"Blacksburg, Virginia",0.08629867720360629,37.22957,-80.41394
"Blaine, Minnesota",0.0,45.1608,-93.23495
"Bloomfield Township, Michigan",0.0,42.56891,-83.38356
"Bloomfield, New Jersey",0.0,40.80677,-74.18542
"Bloomington, Illinois",0.13389891456170508,40.4842,-88.99369
"Bloomington, Indiana",0.12818567961087265,39.16533,-86.52639
"Bloomington, Minnesota",0.09099634797561024,44.95751,-93.17848
"Blue Springs, Missouri",0.29491525423728815,39.01695,-94.28161
"Boardman, Ohio",0.1556214209927244,41.02423,-80.66285
"Boca Ciega, Florida",0.0,27.72308,-82.73149
"Boca Raton, Florida",0.6492655365703955,26.35869,-80.0831
"Boise, Idaho",0.28129135531383614,43.6135,-116.20345
"Bolingbrook, Illinois",0.5844547166262272,41.69864,-88.0684
"Bonita Springs, Florida",0.22264447313820554,26.33981,-81.7787
"Bossier City, Louisiana",0.23790753980654888,32.51599,-93.73212
"Boston, Massachusetts",0.31490186268787085,42.35843,-71.05977
"Bothell, Washington",0.7006462627365868,47.76232,-122.2054
"Boulder, Colorado",0.9913405138144749,40.01499,-105.27055
"Bountiful, Utah",1.4091033351255196,40.88939,-111.88077
"Bowie, Maryland",0.0,38.94278,-76.73028
"Bowling Green, Kentucky",0.26260630178286815,36.99032,-86.4436
"Bowling Green, Ohio",0.0,41.37477,-83.65132
"Boynton Beach, Florida",0.0546763365940649,26.52535,-80.06643
"Bozeman, Montana",0.0898689764604069,45.67965,-111.03856
"Bradenton, Florida",0.180009877507729,27.49893,-82.57482
"Braintree Town, Massachusetts",0.0,42.22232,-70.99949
"Braintree, Massachusetts",0.0,42.22232,-70.99949
"Brandon, Florida",0.06226658403454533,27.9378,-82.28592
"Brandywine, Delaware",0.0,39.874,-75.57548
"Brazosport, Texas",0.0,28.95891,-95.37146
"Brea, California",0.0,33.91668,-117.90006
"Bremerton, Washington",0.45683757344520104,47.56732,-122.63264
"Brentwood, California",0.16813784636990797,37.93187,-121.69579
"Brentwood, New York",1.043415435052125,40.78121,-73.24623
"Brentwood, Tennessee",0.42171227316953414,36.03312,-86.78278
"Bridgeport, Connecticut",0.3051996729149537,41.16704,-73.20483
"Brighton, Colorado",0.0,39.98526,-104.82053
"Brighton, New York",0.0,40.57788,-73.95958
"Bristol, Connecticut",0.7537856072308139,41.67176,-72.94927
"Brockton, Massachusetts",1.0459770114025004,42.08343,-71.01838
"Broken Arrow, Oklahoma",0.8840713165661981,36.0526,-95.79082
"Bronx, New York",0.25182242611501116,40.84985,-73.86641
"Brookfield, Wisconsin",0.1762028277688541,43.06057,-88.10648
"Brookline, Massachusetts",0.0,42.33176,-71.12116
"Brooklyn Center, Minnesota",0.0,45.07608,-93.33273
"Brooklyn Park, Minnesota",0.0,45.09413,-93.35634
"Brooklyn, New York",0.35650063503500395,40.6501,-73.94958
"Broomfield, Colorado",0.8492916333281945,39.92054,-105.08665
"Brownsville, Texas",0.4864811912391551,25.90175,-97.49748
"Brunswick, Ohio",0.0,41.23811,-81.8418
"Bryan, Texas",0.2754186534199093,30.67436,-96.36996
"Buckeye, Arizona",0.2537216726103985,33.37032,-112.58378
"Buena Park, California",0.31206266519174364,33.86751,-117.99812
"Buffalo Grove, Illinois",0.0,42.15141,-87.95979
"Buffalo, New York",0.49016298248067386,42.88645,-78.87837
"Bullhead City, Arizona",0.0,35.14778,-114.5683
"Burbank, California",0.616674158619235,34.18084,-118.30897
"Burien, Washington",0.0,47.47038,-122.34679
"Burke, Virginia",0.4891776284468776,38.79345,-77.27165
"Burleson, Texas",0.16989364054838235,30.49248,-96.62146
"Burlingame, California",0.16691866845518652,37.5841,-122.36608
"Burlington, North Carolina",0.0,36.09569,-79.4378
"Burlington, Vermont",0.059177018185397535,44.47588,-73.21207
"Burnsville, Minnesota",0.3714648561284539,44.76774,-93.27772
"Butte, Montana",0.1110713529434336,46.00382,-112.53474
"Butte-Silver Bow, Montana",0.0,46.00382,-112.53474
"Caldwell, Idaho",0.3654045096731645,43.66294,-116.68736
"Calexico, California",0.49048061292373873,32.67895,-115.49888
"Calumet City, Illinois",0.9235242547469044,41.61559,-87.52949
"Camarillo, California",0.30823507739063755,34.21639,-119.0376
"Cambridge, Massachusetts",0.4400903954215473,42.3751,-71.10561
"Camden, New Jersey",0.0,39.92595,-75.11962
"Campbell, California",0.19579489380035736,37.28717,-121.94996
"Canton, Michigan",0.1697426239399727,42.30865,-83.48216
"Canton, Ohio",0.23469342475071547,40.79895,-81.37845
"Cantonment, Florida",0.0,30.60853,-87.33998
"Cape Coral, Florida",0.3779295685617856,26.56285,-81.94953
"Cape Girardeau, Missouri",0.44287586121103795,37.30588,-89.51815
"Carlsbad, California",0.622504489621818,33.15809,-117.35059
"Carmel, Indiana",0.1069597935644357,39.97837,-86.11804
"Carmel, New York",0.0,41.45862,-73.66497
"Carmichael, California",0.0,38.61713,-121.32828
"Carol City, Florida",0.0,25.94065,-80.2456
"Carol Stream, Illinois",0.0,41.91253,-88.13479
"Carpentersville, Illinois",0.8545743984793837,42.12114,-88.25786
"Carrollton, Texas",0.36856702626115706,32.95373,-96.89028
"Carrollwood, Florida",0.0,28.05002,-82.49287
"Carson City, Nevada",0.12357507127035984,39.1638,-119.7674
"Carson, California",0.0,33.83141,-118.28202
"Cary, North Carolina",0.0,35.79154,-78.78112
"Casa Grande, Arizona",1.0728115279661423,32.8795,-111.75735
"Casas Adobes, Arizona",0.0,32.32341,-110.9951
"Cascade-Fairwood, Washington",0.0,47.44843,-122.15734
"Casper, Wyoming",0.0,42.86663,-106.31308
"Castle Rock, Colorado",0.05973736765725124,39.37221,-104.85609
"Castro Valley, California",0.0,37.6941,-122.08635
"Catalina Foothills, Arizona",0.0,32.29785,-110.9187
"Cathedral City, California",0.46828890919239025,33.77974,-116.46529
"Catonsville, Maryland",0.1111934834890363,39.27205,-76.73192
"Cedar Creek Lake, Texas",0.0,31.18658,-94.83438
"Cedar Falls, Iowa",0.20130343081873472,42.52776,-92.44547
"Cedar Hill, Texas",0.25894450850761636,32.58847,-96.95612
"Cedar Park, Texas",0.6274591649406758,30.5052,-97.82029
"Cedar Rapids, Iowa",0.4185551815651406,42.00833,-91.64407
"Centennial, Colorado",0.3690717396552507,39.57916,-104.87692
"Centereach, New York",0.0,40.85843,-73.09955
"Central Coast, California",0.0,36.94034,-121.74046
"Central Contra Costa, California",0,38.01992,-121.87274
"Central Islip, New York",0,40.79065,-73.20178
"Central Manchester, Connecticut",0,41.77593,-72.52148
"Central Pasco, Florida",0,28.20449,-82.33058
"Centreville, Virginia",0,38.84039,-77.42888
"Ceres, California",0.5129721945201525,37.59493,-120.95771
"Cerritos, California",0.6983625395711636,33.85835,-118.06479
"Champaign, Illinois",0.0,40.11642,-88.24338
"Chandler, Arizona",0.34810666472673346,33.30616,-111.84125
"Channelview, Texas",0.0,29.77606,-95.11465
"Chapel Hill, North Carolina",0.0,35.9132,-79.05584
"Charleston, South Carolina",0.17044881493633351,32.77657,-79.93092
"Charleston, West Virginia",0.17319668899861626,38.34982,-81.63262
"Charlotte, North Carolina",0.24596406692897727,35.22709,-80.84313
"Charlottesville, Virginia",0.3785256435579114,38.02931,-78.47668
"Chattanooga, Tennessee",0.5964782997858454,35.04563,-85.30968
